2024-12-17 22:12:243 INFO  LoginPage :41 - Enter User Name: Admin
2024-12-17 22:12:644 INFO  LoginPage :51 - Enter Password: admin123
2024-12-17 22:12:824 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (02d828a65d4b49e215ca022d83892bc2)] -> xpath: //button[normalize-space()='Login']]
2024-12-17 22:12:169 INFO  DashboardPage :36 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (02d828a65d4b49e215ca022d83892bc2)] -> xpath: //h6[normalize-space()='Dashboard']]
2024-12-17 22:12:449 INFO  LoginPage :41 - Enter User Name: Admin
2024-12-17 22:12:84 INFO  LoginPage :51 - Enter Password: admin123
2024-12-17 22:12:418 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (2d53a1619cef62828c12b4d7003f4f17)] -> xpath: //button[normalize-space()='Login']]
2024-12-17 22:12:838 INFO  DashboardPage :41 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (2d53a1619cef62828c12b4d7003f4f17)] -> xpath: //img[@alt='client brand banner']]
2024-12-17 22:12:456 INFO  LoginPage :41 - Enter User Name: Admin
2024-12-17 22:12:224 INFO  LoginPage :51 - Enter Password: admin123
2024-12-17 22:12:381 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (17c1586231f4c310b47b96d058708425)] -> xpath: //button[normalize-space()='Login']]
2024-12-17 22:12:244 INFO  DashboardPage :27 - Clicking on user profile logo : [[ChromeDriver: chrome on windows (17c1586231f4c310b47b96d058708425)] -> xpath: //img[@class='oxd-userdropdown-img']]
2024-12-17 22:12:415 INFO  DashboardPage :32 - Clicking on logout link : [[ChromeDriver: chrome on windows (17c1586231f4c310b47b96d058708425)] -> xpath: //a[normalize-space()='Logout']]
2024-12-17 22:12:608 INFO  LoginPage :41 - Enter User Name: 
2024-12-17 22:12:683 INFO  LoginPage :51 - Enter Password: 
2024-12-17 22:12:231 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (bc5e15f6a58a1a2bce432e7986252f06)] -> xpath: //button[normalize-space()='Login']]
2024-12-17 22:12:566 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (bc5e15f6a58a1a2bce432e7986252f06)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-12-17 22:12:213 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-12-17 22:12:102 INFO  LoginPage :51 - Enter Password: 
2024-12-17 22:12:442 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (fd9f722c97f9585c8f7be4957552f7b3)] -> xpath: //button[normalize-space()='Login']]
2024-12-17 22:12:641 INFO  LoginPage :62 - Getting password field blank error message : [[ChromeDriver: chrome on windows (fd9f722c97f9585c8f7be4957552f7b3)] -> xpath: //span[@class='oxd-text oxd-text--span oxd-input-field-error-message oxd-input-group__message']]
2024-12-17 22:12:10 INFO  LoginPage :41 - Enter User Name: 
2024-12-17 22:12:748 INFO  LoginPage :51 - Enter Password: test123
2024-12-17 22:12:48 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (fd64c6114cf84e6993fde53c84f9bf5c)] -> xpath: //button[normalize-space()='Login']]
2024-12-17 22:12:266 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (fd64c6114cf84e6993fde53c84f9bf5c)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-12-17 22:12:683 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-12-17 22:12:371 INFO  LoginPage :51 - Enter Password: test123
